eMolecules SMILES,eMolecules ID,MolWt,Hazardous,Supplier,Catalog,Catalog Num,Availability (mg),Price Code,Tier Number,Expected Delivery,CAS Number,Purity,Amount,Format,Units,Amount,Format,Units,Price
c1ccc(cc1)Nc1nnc(o1)c1ccccc1,37308,237.257,,Enamine Screening Compounds,Screening Compounds,Z223448766,159.2,HTS_Collection,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,148
Oc1ccc(cc1)c1cc(=O)c2c(o1)cc(cc2O)O,478202,270.237,,Vitas M Labs,SC Tier 1,STK801630,1464,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
c1ccc2c(c1)ncnc2,479644,130.147,,Maybridge,Screening Compounds,AC15398,119,,1,Delivery within 2 weeks,253-82-7,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,414
NC(=S)N,484431,76.1209,,Vitas M Labs,SC Tier 1,STL194300,188,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
COc1ccc2c(c1)oc(=O)cc2CC(=O)O,490595,234.205,,Enamine Screening Compounds,Screening Compounds,Z276516410,3439.8,Advanced_Collection,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,223
OC(=O)c1cscc1,491595,128.149,,Vitas M Labs,SC Tier 1,STK373639,1230,Allium,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,275
Oc1cc(O)c2c(c1)oc(cc2=O)c1ccccc1,493608,254.238,,Vitas M Labs,SC Tier 1,STK801609,1056,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
OC(=O)Cc1cc(=O)oc2c1ccc(c2)O,498764,220.178,,Maybridge,Screening Compounds,AC42790,119550,,1,Delivery within 2 weeks,6950-82-9,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,414
O=C1CCc2c(N1)cccc2,506221,147.174,,Enamine Screening Compounds,Screening Compounds,Z85917566,50321.1,Advanced_Collection,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,223
COc1cc(C(=O)O)c(cc1OC)Br,508324,261.069,,Vitas M Labs,SC Tier 1,STK505709,10134,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
Oc1ccc(cc1)c1coc2c(c1=O)c(O)cc(c2)O,532754,270.237,,Vitas M Labs,SC Tier 1,STK801619,1015,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
Ic1cc(I)c2c(c1O)nccc2,536848,396.951,,Vitas M Labs,SC Tier 1,STK070581,239,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
O=c1oc2ccccc2c(c1Cc1c(=O)oc2c(c1O)cccc2)O,591595,336.295,,Vitas M Labs,SC Tier 1,STK801287,1950,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
Cc1cc2ncc(nc2cc1C)c1ccccc1,594835,234.296,,Enamine Screening Compounds,Screening Compounds,Z234853442,,HTS_Collection,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,148
COc1cc2c(ncnc2cc1OC)Nc1cccc(c1)Cl,594850,315.754,,Maybridge,Screening Compounds,GK03499,8756,,1,Delivery within 2 weeks,153436-53-4,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,414
COC(=O)c1ccc(cc1)/C=C/1\SC(=O)NC1=O,620265,263.269,,Vitas M Labs,SC Tier 1,STK422154,277,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
