,eMolecules SKU,predicted pKas,"pKas in [3,11]","pKa count in [3,11]",pKas closer than 1 unit,canonical isomeric SMILES
0,163665408,"[4.26, 9.011, 10.57]","[4.26, 9.011, 10.57]",3.0,False,c1cc2cnccc2c(c1)S(=O)(=O)NCCN
1,146728965,"[0.151, 2.037, 9.167]",[9.167],1.0,False,CCOc1ccc2c(c1)sc(n2)NC(=O)Cc3ccc(cc3)F
2,146079752,"[-2.01, 8.499]",[8.499],1.0,False,CCOC(=O)c1c(c2cc(ccc2[nH]c1=O)Br)c3ccccc3
3,166007818,"[6.179, 6.781]","[6.179, 6.781]",2.0,True,c1c(cc(c(c1Sc2cc(cc(c2O)Br)Cl)O)Br)Cl
4,103513099,"[-1.797, 4.637, 12.61]",[4.637],1.0,False,c1ccc2c(c1)[nH]c(n2)c3cc4cc(ccc4oc3=O)Br
5,140616722,"[-0.417, -0.375, 6.546]",[6.546],1.0,False,c1ccc(c(c1)C(=O)Nc2nnc(s2)SCc3cccc(c3)F)Br
6,165966339,"[-0.118, 1.208, 7.548, 14.826]",[7.548],1.0,False,COc1ccc(cc1Cl)NC(=S)NC(=O)Cc2ccccc2
7,166208535,[8.112],[8.112],1.0,False,c1c(c(cc2c1OCO2)Cl)/C=C\3/C(=O)NC(=O)S3
8,150923289,"[-0.417, -0.375, 6.888]",[6.888],1.0,False,c1cc(ccc1CSc2nnc(s2)NC(=O)c3ccc(cc3)Cl)F
9,155127838,"[-1.872, 4.056, 11.289]",[4.056],1.0,False,c1ccc(cc1)CSc2ccccc2C(=O)Nc3cccnc3
10,129267717,"[-0.144, 6.745, 12.739]",[6.745],1.0,False,c1cc(ccc1c2c(n(cn2)C3CCCCC3)c4ccc(o4)C(=O)NC5CC5)F
11,166824992,"[0.122, 0.934, 9.855]",[9.855],1.0,False,c1cc(sc1)C(=O)Nc2ncc(s2)Cc3ccc(cc3Cl)Cl
12,146747910,"[-0.943, -0.719, -0.516, 2.0, 8.46, 13.812]",[8.46],1.0,False,c1ccc(c(c1)c2c(=O)[nH]c3ccccc3n2)NC(=O)c4ccco4
13,165902513,"[4.05, 13.051]",[4.05],1.0,False,c1ccc(cc1)Nc2c3ccccc3ncn2
14,146131894,[7.592],[7.592],1.0,False,c1cc(c(c(c1)Cl)Cl)c2ccc(o2)/C=C\3/C(=O)NC(=S)S3
15,103553065,"[5.12, 6.792, 7.938, 13.605]","[5.12, 6.792, 7.938]",3.0,False,CN1CCN(CC1)c2ccc(cc2)Nc3ccnc4c3ccc(c4)Cl
