,SMILES,TITLE,TANIMOTO,AVG_TANIMOTO,Version_ID,Parent_ID,Supplier_ID,Compound_ID,CAS_number,Chemical_name,Catalog_ID,Supplier_status,Price_code,Salt_comment,Availability_amount,Availability_units,Supplier_name,Supplier_tier,Price_USD,Amount_mg
0,c1cc(cc(c1)Cl)Nc2c3c([nH]cn3)nc(n2)N,103864712,1.0,0.07559746401820501,13594970,13594969,48.0,STOCK6S-42112,,"N6-(3-chlorophenyl)-9H-purine-2,6-diamine",83.0,favorites,SC,,300.0,mg,InterBioScreen,1.0,593.0,100.0
1,Cc1ccccc1c2nnc(o2)SCc3ccccc3,154972989,1.0,0.10751871202368099,2210636,2210635,104.0,7407604,,"2-(benzylthio)-5-(2-methylphenyl)-1,3,4-oxadiazole",994.0,favorites,2,,50.0,mg,ChemBridge,1.0,304.0,100.0
2,c1ccc(cc1)c2c(n3ccsc3n2)C=CC=C(C#N)C#N,151098039,0.53125,0.081640200532173,26161271,26161270,40.0,Z56768097,,,1018.0,favorites,HTS_Collection,,60.9,mg,Enamine Screening Compounds,1.0,272.0,100.0
3,c1ccc2c(c1)N(c3cc(ccc3S2)C(F)(F)F)CCCN4CCN(CC4)CCO,177271519,1.0,0.11600876159131099,2724817,538377,40.0,Z2784093501,,,1018.0,favorites,HTS_Collection,,,,Enamine Screening Compounds,1.0,272.0,100.0
4,c1ccc(cc1)CC(=O)Nc2nc3ccccc3s2,166195289,1.0,0.14044317711800597,1171893,1171892,119.0,STK414477,,,1529.0,favorites,Historical,,574.0,mg,Vitas M Labs,1.0,233.0,100.0
5,c1ccc(cc1)CC(=O)Nc2nc3ccccc3s2,168623294,1.0,0.14044317711800597,1171893,1171892,7.0,Y030-1142,,,9.0,favorites,DC,,0.0,mg,ChemDiv,1.0,1205.0,1000.0
6,CS(=O)(=O)c1ccc(nn1)c2cccc(c2)NC(=O)c3cccc(c3)C(F)(F)F,146653637,0.5411764705882349,0.12063672409324301,5552124,5552123,42.0,F2098-0025,,,652.0,favorites,General,,82.5,mg,Life Chemicals,1.0,400.0,100.0
7,CC(C)c1ccc(cc1)/C=C\2/c3ccccc3NC2=O,146582116,1.0,0.132163493928567,45809595,45809594,42.0,F0807-0563,,,652.0,favorites,General,,283.7,mg,Life Chemicals,1.0,400.0,100.0
8,CC(C)c1ccc(cc1)/C=C\2/c3ccccc3NC2=O,165973703,1.0,0.132163493928567,45809595,45809594,119.0,STL282299,,,1530.0,favorites,Historical,,55.0,mg,Vitas M Labs,1.0,233.0,100.0
9,COc1ccc(cc1OC)C(=O)Nc2c(c3c(s2)CCCC3)C(=O)N,103600837,1.0,0.13812088791254998,1452944,1452943,48.0,STOCK2S-64515,,"2-(3,4-dimethoxybenzamido)-4,5,6,7-tetrahydrobenzo[b]thiophene-3-carboxamide",83.0,favorites,RSC,,118.0,mg,InterBioScreen,1.0,740.0,100.0
