eMolecules_Order_Number,NAME,PO_Number,ORIG_ROWNUM,MATCH_TYPE,MWT,SMILES,SUPPLIER_NAME,CATALOG_NUMBER,SHIPPED_AMOUNT,SHIPPED_UNITS,BARCODE,PLATE_BARCODE,LOCATION,Text 1,EMOLECULES_ID
350033304,Mehtap Isik,,1,exact,237.26,c1ccc(cc1)Nc1nnc(o1)c1ccccc1,Enamine Screening Compounds,Z223448766,,mg,,,,,37308
350033304,Mehtap Isik,,2,exact,270.24,Oc1ccc(cc1)c1cc(=O)c2c(o1)cc(cc2O)O,Vitas M Labs,STK801630,,mg,,,,,478202
350033304,Mehtap Isik,,3,exact,130.15,c1ccc2c(c1)ncnc2,Maybridge,AC15398,,mg,,,,,479644
350033304,Mehtap Isik,,4,exact,76.12,NC(=S)N,Vitas M Labs,STL194300,,mg,,,,,484431
350033304,Mehtap Isik,,5,exact,234.2,COc1ccc2c(c1)oc(=O)cc2CC(=O)O,Enamine Screening Compounds,Z276516410,,mg,,,,,490595
350033304,Mehtap Isik,,6,exact,128.15,OC(=O)c1cscc1,Vitas M Labs,STK373639,,mg,,,,,491595
350033304,Mehtap Isik,,7,exact,254.24,Oc1cc(O)c2c(c1)oc(cc2=O)c1ccccc1,Vitas M Labs,STK801609,,mg,,,,,493608
350033304,Mehtap Isik,,9,exact,220.18,OC(=O)Cc1cc(=O)oc2c1ccc(c2)O,Maybridge,AC42790,,mg,,,,,498764
350033304,Mehtap Isik,,11,exact,147.17,O=C1CCc2c(N1)cccc2,Enamine Screening Compounds,Z85917566,,mg,,,,,506221
350033304,Mehtap Isik,,12,exact,261.07,COc1cc(C(=O)O)c(cc1OC)Br,Vitas M Labs,STK505709,,mg,,,,,508324
350033304,Mehtap Isik,,15,exact,270.24,Oc1ccc(cc1)c1coc2c(c1=O)c(O)cc(c2)O,Vitas M Labs,STK801619,,mg,,,,,532754
350033304,Mehtap Isik,,23,exact,396.95,Ic1cc(I)c2c(c1O)nccc2,Vitas M Labs,STK070581,,mg,,,,,536848
