canonical isomeric SMILES,eMolecules ID,group
c1cc2c(cc1O)c3c(o2)C(=O)NCCC3,6679830,fragment-like
c1ccc2c(c1)c(ncn2)Nc3cccc(c3)C(F)(F)F,1327907,fragment-like
c1ccc(c(c1)NC(=O)c2ccc(o2)Cl)N3CCCCC3,18908671,fragment-like
c1ccc2c(c1)c(ncn2)NCc3ccc(cc3)Cl,30719859,fragment-like
c1ccc(cc1)Cc2nnc(s2)NC(=O)c3cccs3,1228629,fragment-like
c1ccc(cc1)CNc2c3ccccc3ncn2,1327878,fragment-like
c1cc2cccnc2c(c1)NC(=O)c3cc(cnc3)Br,18893169,fragment-like
Cc1ccc2c(c1)c(c(c(=O)[nH]2)CC(=O)O)c3ccccc3,1367649,fragment-like
COc1cccc(c1)Nc2c3ccccc3ncn2.Cl,1865544,fragment-like
c1ccc(cc1)n2cnc3c2ccc(c3)N,31653344,fragment-like
c1ccc2c(c1)ncn2c3ccc(cc3)O,37095168,fragment-like
c1ccc(cc1)C(=O)NCC(=O)Nc2nc3ccccc3s2,23354217,fragment-like
CC(C)c1ccc(cc1)/C=C\2/c3ccccc3NC2=O,45809595,fragment-like
Cc1cccc(c1)Nc2c3cc(c(cc3ncn2)OC)OC,5828805,fragment-like
c1cc(ccc1c2nnc3n2nc(cc3)NC4CC4)C(F)(F)F,5784088,fragment-like
c1ccc(cc1)n2c3c(cn2)c(ncn3)N,719540,fragment-like
c1ccc2c(c1)c(ncn2)Nc3cccc(c3)Cl.Cl,1859493,fragment-like
c1ccc2c(c1)nc(n2CC3CC3)c4c(non4)N,8332960,fragment-like
c1cc(c(c(c1)Cl)C(=O)Nc2ccncc2)Cl,1284691,fragment-like
c1ccc(cc1)c2c3c(ncnc3oc2c4ccccc4)NCCO,1415762,fragment-like
c1ccc(cc1)CSc2nnc(o2)c3ccncc3,1444229,fragment-like
c1ccc(cc1)c2[nH]c3ccc(cc3n2)C(=O)N,37053191,fragment-like
Cc1ccc(cc1)S(=O)(=O)Nc2cccc(c2)C(F)(F)F,1377874,fragment-like
c1cc(c(cc1c2ccc(o2)/C=C/3\C(=O)NC(=O)S3)Cl)F,25775231,fragment-like
CC(C)OC(=O)c1c(csc1N)c2ccc(c(c2)OC)OC,837243,fragment-like
c1ccc2c(c1)c(=O)[nH]c(n2)CCC(=O)Nc3ncc(s3)Cc4ccc(c(c4)F)F,18897105,drug-like
CCOc1ccc2c(c1)sc(n2)NC(=O)Cc3ccc(c(c3)Cl)Cl,3365457,drug-like
CC(C)(C)c1cc(n(n1)c2ccccc2)NC(=O)Nc3cccc(c3Cl)Cl,10794751,drug-like
c1ccc(c(c1)C(=O)Nc2nnc(s2)SCc3ccc(cc3)Br)Cl,5428718,drug-like
c1ccc(cc1)C(=O)Nc2ccc(cc2)Oc3c4c5c(sc4ncn3)CCCC5,3064762,drug-like
c1cc2c(cc(c(c2nc1)O)I)I,536848,drug-like
CCOC(=O)c1ccc(cc1)Nc2cc(nc(n2)Nc3ccc(cc3)C(=O)OCC)C,4375254,drug-like
c1cc(cc(c1)Br)Nc2c(cnc(n2)Nc3cccc(c3)Br)F,1574612,drug-like
c1cc(cc(c1)OCc2ccc(cc2Cl)Cl)/C=C/3\C(=O)NC(=O)S3,46568819,drug-like
COc1ccc(cc1)c2c3c(ncnc3oc2c4ccc(cc4)OC)NCCO,1415746,drug-like
