,eMolecules ID,canonical isomeric SMILES,eMolecules SMILES,"pKas in [3,11]",XlogP,MolWt,Availability (mg),Price,group,N_Rot,N_UV_chrom,Selection,Bin index,Priority,Final list,ncidb
0,6679830,c1cc2c(cc1O)c3c(o2)C(=O)NCCC3,Oc1cc2c3CCCNC(=O)c3oc2cc1,[9.119],0.719999969,217.221,184,533,fragment-like,0,27,picked,4,1,TRUE,None
1,719540,c1ccc(cc1)n2c3c(cn2)c(ncn3)N,Nc1ncnc2c1cnn2c1ccccc1,[3.869],1.499000192,211.223,3430,414,fragment-like,1,31,picked,8,1,TRUE,None
2,37095168,c1ccc2c(c1)ncn2c3ccc(cc3)O,Oc1ccc(cc1)n1cnc2c1cccc2,"[5.82, 8.709]",2.21900034,210.231,21650.2,148,fragment-like,1,40,picked,11,1,TRUE,None
3,37053191,c1ccc(cc1)c2[nH]c3ccc(cc3n2)C(=O)N,NC(=O)c1ccc2c(c1)nc([nH]2)c1ccccc1,[6.342],2.192000389,237.257,2000,168,fragment-like,2,42,picked,11,2,TRUE,None
4,31653344,c1ccc(cc1)n2cnc3c2ccc(c3)N,Nc1ccc2c(c1)ncn2c1ccccc1,[6.348],2.332999945,209.247,50213,148,fragment-like,1,40,picked,12,1,TRUE,None
5,8332960,c1ccc2c(c1)nc(n2CC3CC3)c4c(non4)N,Nc1nonc1c1nc2c(n1CC1CC1)cccc2,[4.082],2.439999819,255.275,300,168,fragment-like,3,28,picked,12,2,TRUE,None
6,5828805,Cc1cccc(c1)Nc2c3cc(c(cc3ncn2)OC)OC,COc1cc2c(ncnc2cc1OC)Nc1cccc(c1)C,[4.267],2.595000267,295.336,1864,414,fragment-like,4,36,picked,13,2,TRUE,None
7,23354217,c1ccc(cc1)C(=O)NCC(=O)Nc2nc3ccccc3s2,O=C(Nc1nc2c(s1)cccc2)CNC(=O)c1ccccc1,[8.672],2.717999935,311.358,149.1,148,fragment-like,6,28,picked,14,1,TRUE,None
8,1367649,Cc1ccc2c(c1)c(c(c(=O)[nH]2)CC(=O)O)c3ccccc3,OC(=O)Cc1c(=O)[nH]c2c(c1c1ccccc1)cc(cc2)C,[4.109],2.803000212,293.317,232.1,223,fragment-like,3,59,picked,14,2,TRUE,None
9,18893169,c1cc2cccnc2c(c1)NC(=O)c3cc(cnc3)Br,Brc1cncc(c1)C(=O)Nc1cccc2c1nccc2,"[4.001, 10.328]",2.92299962,328.163,406,148,fragment-like,3,37,picked,15,1,TRUE,None
10,1327878,c1ccc(cc1)CNc2c3ccccc3ncn2,c1ccc(cc1)CNc1ncnc2c1cccc2,[5.564],2.907000303,235.284,208.7,223,fragment-like,3,36,picked,15,2,TRUE,None
11,1284691,c1cc(c(c(c1)Cl)C(=O)Nc2ccncc2)Cl,O=C(c1c(Cl)cccc1Cl)Nc1ccncc1,"[4.714, 9.847]",2.927000046,267.111,385,275,fragment-like,3,20,picked,15,3,TRUE,None
12,1865544,COc1cccc(c1)Nc2c3ccccc3ncn2.Cl,COc1cccc(c1)Nc1ncnc2c1cccc2.Cl,[4.05],3.138999939,287.744,119.7,148,fragment-like,3,36,picked,16,1,TRUE,None
13,1415762,c1ccc(cc1)c2c3c(ncnc3oc2c4ccccc4)NCCO,OCCNc1ncnc2c1c(c1ccccc1)c(o2)c1ccccc1,[4.294],3.082000017,331.368,159,168,fragment-like,5,71,picked,16,2,TRUE,None
14,1444229,c1ccc(cc1)CSc2nnc(o2)c3ccncc3,c1ccc(cc1)CSc1nnc(o1)c1ccncc1,[4.902],3.305999994,269.322,170,168,fragment-like,4,30,picked,17,1,TRUE,None
15,1327907,c1ccc2c(c1)c(ncn2)Nc3cccc(c3)C(F)(F)F,FC(c1cccc(c1)Nc1ncnc2c1cccc2)(F)F,[4.05],3.268999577,289.255,101,355,fragment-like,3,36,picked,17,2,TRUE,None
16,1228629,c1ccc(cc1)Cc2nnc(s2)NC(=O)c3cccs3,O=C(c1cccs1)Nc1nnc(s1)Cc1ccccc1,[7.12],3.605000257,301.387,379,148,fragment-like,5,14,picked,18,1,TRUE,None
17,30719859,c1ccc2c(c1)c(ncn2)NCc3ccc(cc3)Cl,Clc1ccc(cc1)CNc1ncnc2c1cccc2,[5.564],3.52300024,269.729,415.5,148,fragment-like,3,36,picked,18,2,TRUE,None
18,18908671,c1ccc(c(c1)NC(=O)c2ccc(o2)Cl)N3CCCCC3,Clc1ccc(o1)C(=O)Nc1ccccc1N1CCCCC1,[5.346],3.794999838,304.771,424.3,148,fragment-like,4,18,picked,19,1,TRUE,None
19,1377874,Cc1ccc(cc1)S(=O)(=O)Nc2cccc(c2)C(F)(F)F,Cc1ccc(cc1)S(=O)(=O)Nc1cccc(c1)C(F)(F)F,[7.903],3.747999668,315.311,527,168,fragment-like,4,24,picked,19,2,TRUE,None
20,25775231,c1cc(c(cc1c2ccc(o2)/C=C/3\C(=O)NC(=O)S3)Cl)F,O=C1S/C(=C/c2ccc(o2)c2ccc(c(c2)Cl)F)/C(=O)N1,[8.052],3.907999754,323.727,125,168,fragment-like,2,31,picked,20,1,TRUE,None
21,1859493,c1ccc2c(c1)c(ncn2)Nc3cccc(c3)Cl.Cl,Clc1cccc(c1)Nc1ncnc2c1cccc2.Cl,[4.05],3.899000168,292.163,7366,414,fragment-like,2,36,picked,20,2,TRUE,None
22,837243,CC(C)OC(=O)c1c(csc1N)c2ccc(c(c2)OC)OC,COc1cc(ccc1OC)c1csc(c1C(=O)OC(C)C)N,[10.184],4.079999924,321.391,10117,168,fragment-like,6,28,picked,21,1,TRUE,None
23,5784088,c1cc(ccc1c2nnc3n2nc(cc3)NC4CC4)C(F)(F)F,FC(c1ccc(cc1)c1nnc2n1nc(cc2)NC1CC1)(F)F,[4.394],4.12899971,319.284,3175,414,fragment-like,4,32,picked,21,2,TRUE,None
