SMILES,TITLE,TANIMOTO,AVG_TANIMOTO,Version_ID,Parent_ID,Supplier_ID,Compound_ID,CAS_number,Chemical_name,Catalog_ID,Supplier_status,Price_code,Salt_comment,Availability_amount,Availability_units,Supplier_name,Supplier_tier,Price_USD,Amount_mg
c1cc(cnc1)C(=O)Nc2cc(cc3c2ccnc3)F,181419324,0.544117647058823,0.133022021088904,181419323,181419322,64,6474375,NA,NA,1818,standard,Tangible SC,NA,NA,NA,Otava,3,440.0,50.0
c1ccc2c(c1)ncn2C3C(C(C(O3)CO)O)O,190171015,0.680000000000000,0.096437470602410,33399894,33399893,1380,STT-00189660,NA,NA,1758,favorites,NA,NA,NA,NA,InnovaPharm - Screening Compounds,1,NA,NA
c1cc(cc(c1)Cl)Nc2c3c([nH]cn3)nc(n2)N,103864712,1.000000000000000,0.075597464018205,13594970,13594969,48,STOCK6S-42112,NA,"N6-(3-chlorophenyl)-9H-purine-2,6-diamine",83,favorites,SC,NA,300.0,mg,InterBioScreen,1,593.0,100.0
Cc1ccccc1c2nnc(o2)SCc3ccccc3,154972989,1.000000000000000,0.107518712023681,2210636,2210635,104,7407604,NA,"2-(benzylthio)-5-(2-methylphenyl)-1,3,4-oxadiazole",994,favorites,2,NA,50.0,mg,ChemBridge,1,304.0,100.0
c1ccc(cc1)c2c(n3ccsc3n2)C=CC=C(C#N)C#N,151098039,0.531250000000000,0.081640200532173,26161271,26161270,40,Z56768097,NA,NA,1018,favorites,HTS_Collection,NA,60.9,mg,Enamine Screening Compounds,1,272.0,100.0
c1ccc2c(c1)N(c3cc(ccc3S2)C(F)(F)F)CCCN4CCN(CC4)CCO,133190549,1.000000000000000,0.116008761591311,732810,538377,61,OSSK_579035,NA,NA,163,standard,NA,2HCl,380.0,mg,Princeton BioMolecular Research,3,NA,NA
c1ccc2c(c1)N(c3cc(ccc3S2)C(F)(F)F)CCCN4CCN(CC4)CCO,177271519,1.000000000000000,0.116008761591311,2724817,538377,40,Z2784093501,NA,NA,1018,favorites,HTS_Collection,NA,NA,NA,Enamine Screening Compounds,1,272.0,100.0
c1ccc(cc1)CC(=O)Nc2nc3ccccc3s2,138902653,1.000000000000000,0.140443177118006,1171893,1171892,580,PB30277195,NA,NA,1095,standard,NA,NA,397.5,mg,UORSY,3,NA,NA
c1ccc(cc1)CC(=O)Nc2nc3ccccc3s2,143204456,1.000000000000000,0.140443177118006,1171893,1171892,61,OSSL_178402,NA,N-Benzothiazol-2-yl-2-phenyl-acetamide,163,standard,NA,NA,624.0,mg,Princeton BioMolecular Research,3,NA,NA
c1ccc(cc1)CC(=O)Nc2nc3ccccc3s2,153698825,1.000000000000000,0.140443177118006,1171893,1171892,332,IVK/8147169,NA,NA,778,standard,NA,NA,NA,NA,Alinda Chemical,3,NA,NA
c1ccc(cc1)CC(=O)Nc2nc3ccccc3s2,166195289,1.000000000000000,0.140443177118006,1171893,1171892,119,STK414477,NA,NA,1529,favorites,Historical,NA,574.0,mg,Vitas M Labs,1,233.0,100.0
c1ccc(cc1)CC(=O)Nc2nc3ccccc3s2,168623294,1.000000000000000,0.140443177118006,1171893,1171892,7,Y030-1142,NA,NA,9,favorites,DC,NA,0.0,mg,ChemDiv,1,1205.0,1000.0
c1ccc(cc1)CC(=O)Nc2nc3ccccc3s2,171928704,1.000000000000000,0.140443177118006,1171893,1171892,11,BAS 00184688,NA,NA,654,favorites,NA,NA,NA,NA,ASINEX - SC,1,NA,NA
c1ccc(cc1)CC(=O)Nc2nc3ccccc3s2,181144060,1.000000000000000,0.140443177118006,1171893,1171892,64,5618196,NA,NA,1818,standard,Tangible SC,NA,NA,NA,Otava,3,440.0,50.0
c1c[nH]c2c1c(ncn2)N3CCCCC3,181296699,1.000000000000000,0.094078607311644,106521077,106521076,64,5791381,NA,NA,1818,standard,Tangible SC,NA,NA,NA,Otava,3,440.0,50.0
CS(=O)(=O)c1ccc(nn1)c2cccc(c2)NC(=O)c3cccc(c3)C(F)(F)F,146653637,0.541176470588235,0.120636724093243,5552124,5552123,42,F2098-0025,NA,NA,652,favorites,General,NA,82.5,mg,Life Chemicals,1,400.0,100.0
CC(C)c1ccc(cc1)/C=C\2/c3ccccc3NC2=O,146582116,1.000000000000000,0.132163493928567,45809595,45809594,42,F0807-0563,NA,NA,652,favorites,General,NA,283.7,mg,Life Chemicals,1,400.0,100.0
CC(C)c1ccc(cc1)/C=C\2/c3ccccc3NC2=O,158218231,1.000000000000000,0.132163493928567,45809595,45809594,61,OSSK_001382,NA,NA,163,standard,NA,NA,350.0,mg,Princeton BioMolecular Research,3,NA,NA
CC(C)c1ccc(cc1)/C=C\2/c3ccccc3NC2=O,165973703,1.000000000000000,0.132163493928567,45809595,45809594,119,STL282299,NA,NA,1530,favorites,Historical,NA,55.0,mg,Vitas M Labs,1,233.0,100.0
CC(C)c1ccc(cc1)/C=C\2/c3ccccc3NC2=O,180094760,1.000000000000000,0.132163493928567,45809595,45809594,64,3491172,NA,NA,1818,standard,Tangible SC,NA,NA,NA,Otava,3,440.0,50.0
CC(C)c1ccc(cc1)/C=C\2/c3ccccc3NC2=O,190122210,1.000000000000000,0.132163493928567,45809595,45809594,1380,STT-00136514,NA,NA,1758,favorites,NA,NA,NA,NA,InnovaPharm - Screening Compounds,1,NA,NA
COc1ccc(cc1OC)C(=O)Nc2c(c3c(s2)CCCC3)C(=O)N,103600837,1.000000000000000,0.138120887912550,1452944,1452943,48,STOCK2S-64515,NA,"2-(3,4-dimethoxybenzamido)-4,5,6,7-tetrahydrobenzo[b]thiophene-3-carboxamide",83,favorites,RSC,NA,118.0,mg,InterBioScreen,1,740.0,100.0
COc1ccc(cc1OC)C(=O)Nc2c(c3c(s2)CCCC3)C(=O)N,108360801,1.000000000000000,0.138120887912550,1452944,1452943,42,F0161-0047,NA,NA,652,favorites,General,NA,209.3,mg,Life Chemicals,1,400.0,100.0
COc1ccc(cc1OC)C(=O)Nc2c(c3c(s2)CCCC3)C(=O)N,108702559,1.000000000000000,0.138120887912550,1452944,1452943,45,AG-690/09665048,NA,"2-[(3,4-dimethoxybenzoyl)amino]-4,5,6,7-tetrahydro-1-benzothiophene-3-carboxamide",137,preferred,S01,NA,44.1,mg,Specs,2,411.0,100.0
COc1ccc(cc1OC)C(=O)Nc2c(c3c(s2)CCCC3)C(=O)N,146100250,1.000000000000000,0.138120887912550,1452944,1452943,7,1889-2884,NA,NA,9,favorites,DC,NA,40.0,mg,ChemDiv,1,1205.0,1000.0
COc1ccc(cc1OC)C(=O)Nc2c(c3c(s2)CCCC3)C(=O)N,147471788,1.000000000000000,0.138120887912550,1452944,1452943,61,OSSK_012303,NA,"2-(3,4-Dimethoxy-benzoylamino)-4,5,6,7-tetrahydro-benzo[b]thiophene-3-carboxylic acid amide",163,standard,NA,NA,NA,NA,Princeton BioMolecular Research,3,NA,NA
COc1ccc(cc1OC)C(=O)Nc2c(c3c(s2)CCCC3)C(=O)N,150889595,1.000000000000000,0.138120887912550,1452944,1452943,40,Z27358591,NA,NA,1018,favorites,HTS_Collection,NA,NA,NA,Enamine Screening Compounds,1,272.0,100.0
COc1ccc(cc1OC)C(=O)Nc2c(c3c(s2)CCCC3)C(=O)N,153682146,1.000000000000000,0.138120887912550,1452944,1452943,332,IVK/6168146,NA,NA,778,standard,NA,NA,NA,NA,Alinda Chemical,3,NA,NA
COc1ccc(cc1OC)C(=O)Nc2c(c3c(s2)CCCC3)C(=O)N,154804848,1.000000000000000,0.138120887912550,1452944,1452943,104,5553171,NA,"2-[(3,4-dimethoxybenzoyl)amino]-4,5,6,7-tetrahydro-1-benzothiophene-3-carboxamide",994,favorites,2,NA,15.0,mg,ChemBridge,1,304.0,100.0
COc1ccc(cc1OC)C(=O)Nc2c(c3c(s2)CCCC3)C(=O)N,166183551,1.000000000000000,0.138120887912550,1452944,1452943,119,STK259280,NA,NA,1529,favorites,Historical,NA,1758.0,mg,Vitas M Labs,1,233.0,100.0
COc1ccc(cc1OC)C(=O)Nc2c(c3c(s2)CCCC3)C(=O)N,179213762,1.000000000000000,0.138120887912550,1452944,1452943,64,1280041,NA,NA,1818,standard,Tangible SC,NA,NA,NA,Otava,3,440.0,50.0
COc1ccc(cc1OC)C(=O)Nc2c(c3c(s2)CCCC3)C(=O)N,190052418,1.000000000000000,0.138120887912550,1452944,1452943,1380,STT-00032504,NA,NA,1758,favorites,NA,NA,NA,NA,InnovaPharm - Screening Compounds,1,NA,NA
CC1(Cc2c(cn(c(=O)c2C(=O)Nc3ccc(c(c3)Cl)OC)c4ccc(cc4)F)C(=O)C1)C,129249626,0.414141414141414,0.127467213426691,32682928,32682927,7,L120-0787,NA,NA,9,favorites,NC,NA,129.0,mg,ChemDiv,1,533.0,100.0
c1ccc(c(c1)C(=O)Nc2nnc(s2)SCc3ccc(cc3)F)F,140622184,1.000000000000000,0.136602391929870,25153290,25153289,7,V012-5998,NA,NA,9,favorites,DC,NA,5.0,mg,ChemDiv,1,1205.0,1000.0
c1ccc(cc1)n2cnc3c2cccc3,133442641,1.000000000000000,0.063631089141316,1202048,1202047,61,OSSL_047349,NA,1-Phenyl-1H-benzoimidazole,163,standard,NA,NA,213.0,mg,Princeton BioMolecular Research,3,NA,NA
c1ccc(cc1)n2cnc3c2cccc3,166217208,1.000000000000000,0.063631089141316,1202048,1202047,119,STK325727,NA,NA,1529,favorites,Historical,NA,188.0,mg,Vitas M Labs,1,233.0,100.0
c1ccc(cc1)n2cnc3c2cccc3,171968208,1.000000000000000,0.063631089141316,1202048,1202047,11,BAS 00350928,NA,NA,654,favorites,NA,NA,NA,NA,ASINEX - SC,1,NA,NA
CCc1cccc(c1NC(=O)c2cnc(nc2)Nc3ccccc3OC)CC,183812914,0.369369369369369,0.129078871290518,183812913,183812912,64,9440077,NA,NA,1818,standard,Tangible SC,NA,NA,NA,Otava,3,440.0,50.0
Cc1cc(cc(c1)F)NC(=O)NCCCCN2CCCC2,149965231,0.506849315068493,0.134861613712592,49656768,49656767,104,47226993,NA,N-(3-fluoro-5-methylphenyl)-N'-(4-pyrrolidin-1-ylbutyl)urea,994,favorites,2,NA,30.0,mg,ChemBridge,1,304.0,100.0
c1ccc(cc1)c2c(cn(n2)c3ccccc3)C(=O)Nc4ccccc4,100366130,1.000000000000000,0.122407278318362,14371658,14371657,7,E136-0096,NA,NA,9,favorites,NC,NA,61.0,mg,ChemDiv,1,533.0,100.0
c1ccc(cc1)c2c(cn(n2)c3ccccc3)C(=O)Nc4ccccc4,133580810,1.000000000000000,0.122407278318362,14371658,14371657,61,OSSL_315740,NA,NA,163,standard,NA,NA,100.0,mg,Princeton BioMolecular Research,3,NA,NA
CN1CCN(CC1)c2ccc(cc2)Nc3ccnc4c3ccc(c4)Cl,103553065,0.619718309859155,0.107715886060555,1347353,1347352,48,STOCK1S-85809,NA,7-chloro-N-(4-(4-methylpiperazin-1-yl)phenyl)quinolin-4-amine,83,favorites,SC,NA,300.0,mg,InterBioScreen,1,593.0,100.0
CN1CCN(CC1)c2ccc(cc2)Nc3ccnc4c3ccc(c4)Cl,143340789,0.619718309859155,0.107715886060555,1347353,1347352,61,OSSL_633760,NA,(7-Chloro-quinolin-4-yl)-[4-(4-methyl-piperazin-1-yl)-phenyl]-amine,163,standard,NA,NA,100.0,mg,Princeton BioMolecular Research,3,NA,NA
CN1CCN(CC1)c2ccc(cc2)Nc3ccnc4c3ccc(c4)Cl,172071693,0.619718309859155,0.107715886060555,1347353,1347352,11,BAS 01835897,NA,NA,654,favorites,NA,NA,NA,NA,ASINEX - SC,1,NA,NA
c1ccc(c(c1)C(=O)Nc2nnc(s2)SCc3cccc(c3)F)Br,133217391,1.000000000000000,0.135491468414775,6128453,6128452,61,OSSK_612872,NA,NA,163,standard,NA,NA,201.0,mg,Princeton BioMolecular Research,3,NA,NA
c1ccc(c(c1)C(=O)Nc2nnc(s2)SCc3cccc(c3)F)Br,140616722,1.000000000000000,0.135491468414775,6128453,6128452,7,V012-0480,NA,NA,9,favorites,DC,NA,2.0,mg,ChemDiv,1,1205.0,1000.0
c1ccc(c(c1)C(=O)Nc2nnc(s2)SCc3cccc(c3)F)Br,166155096,1.000000000000000,0.135491468414775,6128453,6128452,119,STK232976,NA,NA,1529,favorites,Advanced,NA,201.0,mg,Vitas M Labs,1,274.0,100.0
c1cc(cc(c1)Cl)CSc2nnc(o2)c3ccncc3,100149453,1.000000000000000,0.124175038274675,8687115,8687114,7,8104-09555,NA,NA,9,favorites,NC,NA,84.0,mg,ChemDiv,1,533.0,100.0
c1cc(cc(c1)Cl)CSc2nnc(o2)c3ccncc3,146732518,1.000000000000000,0.124175038274675,8687115,8687114,42,F2771-0111,NA,NA,652,favorites,General,NA,128.4,mg,Life Chemicals,1,400.0,100.0
c1cc(cc(c1)Cl)CSc2nnc(o2)c3ccncc3,158256777,1.000000000000000,0.124175038274675,8687115,8687114,61,OSSK_840296,NA,NA,163,standard,NA,NA,100.0,mg,Princeton BioMolecular Research,3,NA,NA
c1cc(cc(c1)Cl)CSc2nnc(o2)c3ccncc3,166092489,1.000000000000000,0.124175038274675,8687115,8687114,119,STK292974,NA,NA,1529,favorites,Historical,NA,57.0,mg,Vitas M Labs,1,233.0,100.0
c1cc(cc(c1)Cl)CSc2nnc(o2)c3ccncc3,179206719,1.000000000000000,0.124175038274675,8687115,8687114,64,1260737,NA,NA,1818,standard,Tangible SC,NA,NA,NA,Otava,3,440.0,50.0
Cn1c(=O)c-2nc(nn(c2nc1=O)C)c3ccc4c(c3)OCO4,133094458,1.000000000000000,0.095530849777418,742162,742161,61,OSSK_442774,NA,NA,163,standard,NA,NA,241.0,mg,Princeton BioMolecular Research,3,NA,NA
Cn1c(=O)c-2nc(nn(c2nc1=O)C)c3ccc4c(c3)OCO4,166082627,1.000000000000000,0.095530849777418,742162,742161,119,STK112858,NA,NA,1529,favorites,Advanced,NA,48.0,mg,Vitas M Labs,1,274.0,100.0
c1c(cc(c(c1Sc2cc(cc(c2O)Br)Cl)O)Br)Cl,133029811,1.000000000000000,0.075369676130795,2741426,2741425,61,OSSK_334204,NA,NA,163,standard,NA,NA,128.0,mg,Princeton BioMolecular Research,3,NA,NA
c1c(cc(c(c1Sc2cc(cc(c2O)Br)Cl)O)Br)Cl,166007818,1.000000000000000,0.075369676130795,2741426,2741425,119,STK031212,NA,NA,1529,favorites,Historical,NA,108.0,mg,Vitas M Labs,1,233.0,100.0
c1c(cc(c(c1Sc2cc(cc(c2O)Br)Cl)O)Br)Cl,177517553,1.000000000000000,0.075369676130795,2741426,2741425,104,5250892,NA,"2,2'-thiobis(6-bromo-4-chlorophenol)",994,favorites,4,NA,1.0,mg,ChemBridge,1,151.0,20.0
c1cc(c(cc1I)F)Nc2c(ccc(c2F)F)C(=O)NOC[C@@H](CO)O,155705571,0.404761904761905,0.108094311217397,31507606,31507605,64,7070707062,NA,NA,516,standard,NA,NA,3.0,mg,Otava,3,NA,NA
c1ccc(cc1)Oc2ccccc2C(=O)NCc3ccccc3F,150944076,1.000000000000000,0.136455338675235,18853537,18853536,40,Z29857906,NA,NA,1018,favorites,HTS_Collection,NA,510.7,mg,Enamine Screening Compounds,1,272.0,100.0
C[C@@H]1C[C@@H]2[C@@H](C2(C)C)[C@@H]3C=C([C@H]([C@]4([C@@]1(C3=O)C=C([C@@H]4O)C)O)O)CO,93897754,0.564516129032258,0.076075732916931,31239832,31239831,9,NP-021091,NA,NA,691,preferred,MEGxpC,NA,19.0,mg,Analyticon Discovery,2,11348.0,100.0
CC1Cc2cc3c(c(c2-c4c(cc(c(c4OC)OC)OC)CC1C)OC)OCO3,147022064,1.000000000000000,0.106464138217041,1936133,1936132,9,NP-015231,NA,NA,691,preferred,MEGxpB,NA,100.0,mg,Analyticon Discovery,2,8511.0,100.0
CC1CNCCN1S(=O)(=O)c2cccc3c2ccnc3,162502285,0.571428571428571,0.129140816231748,42649546,539696,829,FCG1491653178,NA,NA,1319,standard,NA,NA,NA,NA,FCH Group,3,NA,NA
CC1CNCCN1S(=O)(=O)c2cccc3c2ccnc3,163743086,0.571428571428571,0.129140816231748,42649546,539696,40,Z1491263437,NA,NA,1018,favorites,HTS_Collection,Cl,NA,NA,Enamine Screening Compounds,1,272.0,100.0
c1cc(oc1)/C=N/c2c(nc(nc2O)N)N,143366083,0.425531914893617,0.062285559947067,206920600,206920601,61,OSSL_661227,NA,"2,6-Diamino-5-[(furan-2-ylmethylene)-amino]-pyrimidin-4-ol",163,standard,NA,NA,100.0,mg,Princeton BioMolecular Research,3,NA,NA
c1cc(oc1)/C=N/c2c(nc(nc2O)N)N,166644918,0.425531914893617,0.062285559947067,206920600,206920601,119,STK784073,NA,NA,1529,favorites,Historical,NA,73.0,mg,Vitas M Labs,1,233.0,100.0
c1cc(oc1)/C=N/c2c(nc(nc2O)N)N,168498586,0.425531914893617,0.062285559947067,206920600,206920601,27,A3980/0169501,NA,NA,50,standard,NA,NA,382.0,mg,Chemical Block,3,NA,NA
CCCOc1ccc(cc1)/C=C/2\C(=O)NC(=S)S2,155447144,1.000000000000000,0.141299401356358,73003626,73003625,580,PB44379181,NA,NA,1095,standard,NA,NA,NA,NA,UORSY,3,NA,NA
c1cc(cc(c1)Nc2c3c([nH]cn3)nc(n2)N)C(F)(F)F,103864832,1.000000000000000,0.089091696713269,13595158,13595157,48,STOCK6S-42232,NA,"N6-(3-(trifluoromethyl)phenyl)-9H-purine-2,6-diamine",83,favorites,SC,NA,192.0,mg,InterBioScreen,1,593.0,100.0
CS(=O)(=O)N1CCN(CC1)Cc2nc3cccnc3s2,110475308,0.416666666666667,0.115984719813614,110475307,110475306,283,IMED1537923692,NA,NA,667,standard,NA,NA,NA,NA,Intermed,3,NA,NA
Cc1ccn2c(c1)nc(n2)NC(=O)c3cccnc3,181176098,0.527777777777778,0.123929451904699,181176097,181176096,64,5643033,NA,NA,1818,standard,Tangible SC,NA,NA,NA,Otava,3,440.0,50.0
CC(C)CC(=O)N1CCc2c(sc(n2)Nc3ncccn3)C1,182518123,0.370000000000000,0.110864412326319,182518122,182518121,64,8869796,NA,NA,1818,standard,Tangible SC,NA,NA,NA,Otava,3,440.0,50.0
c1ccc(cc1)C(=O)Nc2c(ccs2)C(=O)N,138893497,1.000000000000000,0.139657642885785,2266007,2266006,580,PB29161761,NA,NA,1095,standard,NA,NA,21.5,mg,UORSY,3,NA,NA
c1ccc(cc1)C(=O)Nc2c(ccs2)C(=O)N,143250476,1.000000000000000,0.139657642885785,2266007,2266006,61,OSSL_226351,NA,2-Benzoylamino-thiophene-3-carboxylic acid amide,163,standard,NA,NA,150.0,mg,Princeton BioMolecular Research,3,NA,NA
c1ccc(cc1)C(=O)Nc2c(ccs2)C(=O)N,146603330,1.000000000000000,0.139657642885785,2266007,2266006,42,F1358-0264,NA,NA,652,favorites,General,NA,117.5,mg,Life Chemicals,1,400.0,100.0
c1ccc(cc1)C(=O)Nc2c(ccs2)C(=O)N,153673598,1.000000000000000,0.139657642885785,2266007,2266006,332,IVK/4005819,NA,NA,778,standard,NA,NA,NA,NA,Alinda Chemical,3,NA,NA
c1ccc(cc1)C(=O)Nc2c(ccs2)C(=O)N,166443821,1.000000000000000,0.139657642885785,2266007,2266006,119,STK471590,NA,NA,1529,favorites,Historical,NA,100.0,mg,Vitas M Labs,1,233.0,100.0
c1ccc(cc1)C(=O)Nc2c(ccs2)C(=O)N,177548984,1.000000000000000,0.139657642885785,2266007,2266006,104,7947094,NA,2-(benzoylamino)-3-thiophenecarboxamide,994,favorites,4,NA,1.0,mg,ChemBridge,1,151.0,20.0
c1cc2c(cc1C(=O)Nc3c(c4c(s3)CCCC4)C(=O)N)OCO2,152348318,1.000000000000000,0.131143986579132,1178116,1178115,45,AG-690/08669009,NA,"N-[3-(aminocarbonyl)-4,5,6,7-tetrahydro-1-benzothien-2-yl]-1,3-benzodioxole-5-carboxamide",137,preferred,S01,NA,109.2,mg,Specs,2,411.0,100.0
c1cc2c(cc1C(=O)Nc3c(c4c(s3)CCCC4)C(=O)N)OCO2,153684307,1.000000000000000,0.131143986579132,1178116,1178115,332,IVK/6224405,NA,NA,778,standard,NA,NA,NA,NA,Alinda Chemical,3,NA,NA
c1cc2c(cc1C(=O)Nc3c(c4c(s3)CCCC4)C(=O)N)OCO2,158252412,1.000000000000000,0.131143986579132,1178116,1178115,61,OSSK_772510,NA,NA,163,standard,NA,NA,100.0,mg,Princeton BioMolecular Research,3,NA,NA
c1cc2c(cc1C(=O)Nc3c(c4c(s3)CCCC4)C(=O)N)OCO2,166161236,1.000000000000000,0.131143986579132,1178116,1178115,119,STK247069,NA,NA,1529,favorites,Historical,NA,227.0,mg,Vitas M Labs,1,233.0,100.0
